Entry	Gene Names (primary)	Gene Names (ordered locus)
Q6ZEF9		ssl7039
Q6ZEG0		ssl7038
Q6ZEH6		ssl7022
Q6ZEH7		ssl7021
Q6ZEH8		ssl7020
Q6ZEH9		ssl7019
Q6ZEJ1		ssl7007
Q6ZEJ4		ssl7004
Q6YRR2		ssl6092
Q6YRU3		ssl6061
Q6YRW9		ssl6035
Q6YRS2		ssl6023 ssl6082
Q6YRS7		ssl6018 ssl6077
Q6ZEK1		ssl5129
Q6ZEK5		ssl5125
Q6ZEL6		ssl5114
Q6ZEL7		ssl5113
Q6ZEM2		ssl5108
Q6ZEM7		ssl5103
Q6ZEN0		ssl5100
Q6ZEN1		ssl5099
Q6ZEN2		ssl5098
Q6ZEN4		ssl5096
Q6ZEN5		ssl5095
Q6ZEN9		ssl5091
Q6ZER0		ssl5070
Q6ZER2		ssl5068
Q6ZER5		ssl5065
Q6ZER6		ssl5064
Q6ZET5		ssl5045
Q6ZEU1		ssl5039
Q6ZEU9		ssl5031
Q6ZEV3		ssl5027
Q6ZEV5		ssl5025
Q6ZEW5		ssl5015
Q6ZEX2		ssl5008
Q6ZEX3		ssl5007
Q6ZEX9		ssl5001
P73675		ssl3829
P73919		ssl3769
P73382		ssl3712
P73815		ssl3692
P73252		ssl3615
P74099		ssl3573
P74116		ssl3549
P73286		ssl3451
P73291		ssl3446
P73629		ssl3383
P73630		ssl3382
P73654		ssl3364
P73685		ssl3291
P73455		ssl3177
P73857		ssl3127
P74283		ssl3044
P74362		ssl2971
P72995		ssl2920
P74607		ssl2874
P73937		ssl2789
P73945		ssl2781
P73970		ssl2749
P72616		ssl2733
P74146		ssl2717
P74558		ssl2667
P73587		ssl2595
P73171		ssl2559
P74085		ssl2471
P74020		ssl2420
P72829		ssl2384
P73790		ssl2296
P73484		ssl2250
P73489		ssl2245
P74222		ssl2162
P74239		ssl2148
P74244		ssl2138
P72638		ssl2069
P72752		ssl2009
P72925		ssl1972
P73026		ssl1923
P73027		ssl1922
P73028		ssl1920
P73031		ssl1918
P73124		ssl1911
P74520		ssl1807
P72860		ssl1792
P74781		ssl1707
P73563		ssl1633
P74776		ssl1552
P74778		ssl1533
P74039		ssl1520
P74058		ssl1507
P74067		ssl1498
P74804		ssl1464
P74636		ssl1378
P72681		ssl1326
P72576		ssl1300
P74806		ssl1277
P74809		ssl1263
P74811		ssl1255
P74772		ssl1046
P74774		ssl1045
Q55520		ssl1004
P74691		ssl0832
P72570		ssl0788
P72571		ssl0787
P72572		ssl0769
P74792		ssl0750
P74794		ssl0738
Q55540		ssl0564
P74803		ssl0511
P74413		ssl0483
P73875		ssl0467
P73882		ssl0461
P73890		ssl0453
P73891		ssl0452
P73901		ssl0438
P72693		ssl0426
P72713		ssl0410
Q55772		ssl0353
P74795		ssl0352
P74796		ssl0350
Q55785		ssl0331
P74785		ssl0312
Q55568		ssl0296
P74786		ssl0294
P74458		ssl0259
P74470		ssl0242
Q55892		ssl0172
Q55499	ssb	slr0925
P73325	srrA	
P73128	sqdB	
P73981	spsC	
P73983	spsA	
Q55440	sps	
P73689	sppA	sll1703
P74007	spoT	slr1325
P73193	spoIID	
P73469	spkF	slr1225
P73515	spkE	slr1443
P54735	spkD	sll0776
P74745	spkC	slr0599
P74297	spkB	slr1697
Q9FAB3	spkA	sll1574/sll1575
Q55200	sphX	sll0679
Q55586	sphS	
P73270	speB2	sll1077
P72703	speB1	sll0228
P72587	speA2	slr1312
P74576	speA1	slr0662
P72669	sohA	
P77968	sodB	slr1516
P74808		smr0002
P74355	smpB	slr1639
P73345	smf	slr1197
P73340	smc	sll1120
Q55476	slt	
Q6ZE48		slr8044
Q6ZE54		slr8038
Q6ZE55		slr8037
Q6ZE56		slr8036
Q6ZE62		slr8030
Q6ZE63		slr8029
Q6ZE66		slr8026
Q6ZE69		slr8023
Q6ZE70		slr8022
Q6ZE71		slr8021
Q6ZE76		slr8016
Q6ZE77		slr8015
Q6ZE78		slr8014
Q6ZE96		slr7102
Q6ZE97		slr7101
Q6ZE98		slr7100
Q6ZE99		slr7099
Q6ZEA0		slr7098
Q6ZEA1		slr7097
Q6ZEA2		slr7096
Q6ZEA3		slr7095
Q6ZEA4		slr7094
Q6ZEA7		slr7091
Q6ZEB0		slr7088
Q6ZEB5		slr7083
Q6ZEB6		slr7082
Q6ZEB7		slr7081
Q6ZEB8		slr7080
Q6ZEC2		slr7076
Q6ZEC5		slr7073
Q6ZED0		slr7068
Q6ZED7		slr7061
Q6ZED8		slr7060
Q6ZED9		slr7059
Q6ZEE0		slr7058
Q6ZEE1		slr7057
Q6ZEE4		slr7054
Q6ZEE6		slr7052
Q6ZEE9		slr7049
Q6ZEF7		slr7041
Q6ZEG1		slr7037
Q6ZEG6		slr7032
Q6ZEH2		slr7026
Q6ZEH3		slr7025
Q6ZEH4		slr7024
Q6ZEH5		slr7023
Q6ZEI3		slr7015
Q6ZEI4		slr7014
Q6ZEI5		slr7013
Q6ZEI6		slr7012
Q6ZEI7		slr7011
Q6ZEI8		slr7010
Q6ZEJ0		slr7008
Q6ZEJ3		slr7005
Q6YRP4		slr6110
Q6YRP6		slr6108
Q6YRP7		slr6107
Q6YRP8		slr6106
Q6YRQ0		slr6104
Q6YRQ1		slr6103
Q6YRQ2		slr6102
Q6YRQ3		slr6101
Q6YRQ4		slr6100
Q6YRQ7		slr6097
Q6YRQ8		slr6096
Q6YRQ9		slr6095
Q6YRR0		slr6094
Q6YRR3		slr6091
Q6YRR4		slr6090
Q6YRU1		slr6063
Q6YRU6		slr6058
Q6YRU7		slr6057
Q6YRU8		slr6056
Q6YRV3		slr6051
Q6YRV4		slr6050
Q6YRV5		slr6049
Q6YRV7		slr6047
Q6YRV9		slr6045
Q6YRW0		slr6044
Q6YRW1		slr6043
Q6YRW2		slr6042
Q6YRW3		slr6041
Q6YRW4		slr6040
Q6YRW5		slr6039
Q6YRW6		slr6038
Q6YRX0		slr6034
Q6YRX1		slr6033
Q6YRX3		slr6031
Q6YRR6		slr6029 slr6088
Q6YRR7		slr6028 slr6087
Q6YRS0		slr6025 slr6084
Q6YRS3		slr6022 slr6081
Q6YRS4		slr6021 slr6080
Q6YRS9		slr6016 slr6075
Q6YRT0		slr6015 slr6074
Q6YRT1		slr6014 slr6073
Q6YRT2		slr6013 slr6072
Q6YRT3		slr6012 slr6071
Q6YRT4		slr6011 slr6070
Q6YRT6		slr6009 slr6068
Q6YRT7		slr6008 slr6067
Q6YRT8		slr6007 slr6066
Q6YRT9		slr6006 slr6065
Q6YRU0		slr6005 slr6064
Q6YS00		slr6004
Q6YS03		slr6001
Q6ZEK3		slr5127
Q6ZEK4		slr5126
Q6ZEK6		slr5124
Q6ZEL1		slr5119
Q6ZEL2		slr5118
Q6ZEL4		slr5116
Q6ZEL5		slr5115
Q6ZEL8		slr5112
Q6ZEL9		slr5111
Q6ZEM0		slr5110
Q6ZEM5		slr5105
Q6ZEM8		slr5102
