Entry	Gene Names (primary)	Gene Names (ordered locus)
Q55181		slr0491
Q55180		slr0489
Q55178		slr0487
Q55177		slr0484
Q55176		slr0483
Q55175		slr0482
Q55173		slr0479
Q55171		slr0476
Q55165		slr0468
P74701		slr0462
P74699		slr0460
P74698		slr0459
P74697		slr0458
P74695		slr0456
P74694		slr0455
P74693		slr0454
P74690		slr0453
P74678		slr0449
P74385		slr0445
P74379		slr0443
P74375		slr0442
Q55130		slr0440
Q55127		slr0439
Q55125		slr0438
Q55113		slr0431
Q55760		slr0427
Q55748		slr0421
Q55747		slr0420
Q55739		slr0418
Q55737		slr0416
P74440		slr0408
P74439		slr0407
P74433		slr0404
P74432		slr0402
P74431		slr0401
P74428		slr0398
P74427		slr0397
P74419		slr0393
P74418		slr0392
Q55603		slr0388
Q55601		slr0386
Q55598		slr0384
Q55597		slr0383
Q55594		slr0380
Q55592		slr0378
Q55591		slr0377
Q55590		slr0376
Q55589		slr0374
Q55588		slr0373
Q55584		slr0369
Q55583		slr0366
Q55582		slr0364
Q55581		slr0363
Q55579		slr0362
Q55578		slr0361
Q55577		slr0360
Q55576		slr0359
Q55654		slr0358
Q55651		slr0356
Q55649		slr0354
Q55647		slr0353
Q55645		slr0352
Q57456		slr0351
Q55640		slr0347
Q55636		slr0345
Q55633		slr0341
Q55548		slr0338
Q55545		slr0337
Q55542		slr0334
Q55541		slr0333
Q55535		slr0328
Q55533		slr0326
Q55530		slr0325
Q55529		slr0324
Q55527		slr0322
Q55524		slr0320
Q55925		slr0318
Q55924		slr0317
Q55923		slr0316
Q55922		slr0315
Q55921		slr0314
Q55920		slr0313
Q55919		slr0312
Q55918		slr0311
Q55914		slr0309
Q55910		slr0306
Q55909		slr0305
Q55908		slr0304
Q55907		slr0303
Q55906		slr0302
Q55904		slr0300
Q55903		slr0299
P74417		slr0294
P74414		slr0292
P74412		slr0291
P74411		slr0287
P74408		slr0286
P74407		slr0285
P74406		slr0284
P74396		slr0280
P73894		slr0273
P73893		slr0272
P73892		slr0271
P73889		slr0270
P73888		slr0269
P73885		slr0267
P73880		slr0265
P73879		slr0264
P73878		slr0263
P73877		slr0262
P72718		slr0254
P72710		slr0251
P72709		slr0250
P72708		slr0249
P72702		slr0245
P72700		slr0244
P72698		slr0243
P72696		slr0241
P72695		slr0240
P72692		slr0238
P72690		slr0236
P52232		slr0233
Q55705		slr0232
Q55703		slr0231
Q57248		slr0230 slr0704
Q55702		slr0229
Q55698		slr0226
Q55695		slr0224
Q55693		slr0222
Q55686		slr0217
Q59995		slr0214
Q55784		slr0211
Q55783		slr0210
Q55782		slr0209
Q55780		slr0208
Q55779		slr0207
Q55777		slr0204
P54004		slr0199
Q55769		slr0197
Q55768		slr0196
Q55767		slr0195
Q55765		slr0193
Q55764		slr0192
Q55573		slr0184
Q55566	; ; ; 	slr0180; sll1474; slr1635; sll1780
Q55565		slr0179
Q55549		slr0168
P74472		slr0166
P74460		slr0157
P74451		slr0152
P74450		slr0151
P74448		slr0149
P74447		slr0148
P74446		slr0147
P74445		slr0146
P74444		slr0145
P74443		slr0144
P74442		slr0143
P74441		slr0142
Q55897		slr0121
Q55889		slr0114
Q55888		slr0112
Q55887		slr0111
Q55886		slr0110
Q55882		slr0109
Q55881		slr0108
Q55877		slr0106
Q55876		slr0105
P54371		slr0104
Q55873		slr0103
Q55871		slr0099
Q55814		slr0096
Q55813		slr0095
P50027		slr0093
Q55812		slr0092
Q55811		slr0091
Q55810		slr0090
Q55807		slr0086
Q55802		slr0081
Q55792		slr0076
Q55791		slr0075
Q55790		slr0074
Q55788		slr0073
Q55161		slr0069
Q55157		slr0065
Q55156		slr0064
Q55152		slr0061
Q55151		slr0060
Q55150		slr0059
Q55149		slr0058
Q55131		slr0049
Q59991		slr0042
Q55458		slr0039
Q55457		slr0038
Q55449		slr0031
Q55441		slr0023
Q55439		slr0022
Q55682		slr0021
Q55676		slr0019
Q55672		slr0016
Q57208		slr0014
Q55671		slr0013
Q55668		slr0007
Q55667		slr0006
Q55660		slr0001
Q6ZE43		sll8049
Q6ZE44		sll8048
Q6ZE47		sll8043 slr8045
Q6ZE46		sll8042 slr8046
Q6ZE52		sll8040
Q6ZE57		sll8035
Q6ZE58		sll8034
Q6ZE59		sll8033
Q6ZE60		sll8032
Q6ZE65		sll8027
Q6ZE67		sll8025
Q6ZE72		sll8020
Q6ZE73		sll8019
Q6ZE74		sll8018
Q6ZE75		sll8017
Q6ZE80		sll8012
Q6ZE81		sll8011
Q6ZE83		sll8009
Q6ZE85		sll8007
Q6ZE86		sll8006
Q6ZE88		sll8004
Q6ZE90		sll8002
Q6ZE91		sll8001
Q6ZE92		sll7106
Q6ZE95		sll7103
Q6ZEA8		sll7090
Q6ZEA9		sll7089
Q6ZEB1		sll7087
Q6ZEB2		sll7086
Q6ZEB3		sll7085
Q6ZEC0		sll7078
Q6ZEC1		sll7077
Q6ZEC3		sll7075
Q6ZEC8		sll7070
Q6ZEC9		sll7069
Q6ZED1		sll7067
Q6ZED2		sll7066
Q6ZED3		sll7065
Q6ZED4		sll7064
Q6ZED5		sll7063
Q6ZED6		sll7062
Q6ZEE2		sll7056
Q6ZEE3		sll7055
Q6ZEE8		sll7050
Q6ZEF1		sll7047
Q6ZEF4		sll7044
Q6ZEF5		sll7043
Q6ZEG4		sll7034
Q6ZEG5		sll7033
Q6ZEG7		sll7031
Q6ZEG8		sll7030
Q6ZEG9		sll7029
Q6ZEH0		sll7028
Q6ZEH1		sll7027
Q6ZEI9		sll7009
Q6ZEJ2		sll7006
Q6ZEJ6		sll7002
Q6ZEJ7		sll7001
Q6YRP5		sll6109
Q6YRQ6		sll6098
Q6YRR1		sll6093
Q6YRU4		sll6060
Q6YRU5		sll6059
Q6YRU9		sll6055
Q6YRV0		sll6054
Q6YRV1		sll6053
Q6YRV2		sll6052
Q6YRW8		sll6036
Q6YRS8		sll6017 sll6076
Q6YRT5		sll6010 sll6069
Q6ZEJ8		sll5132
Q6YRP9		sll5131 slr6105
Q6ZEK0		sll5130
Q6ZEK2		sll5128
Q6ZEK7		sll5123
Q6ZEK8		sll5122
Q6ZEM1		sll5109
Q6ZEM3		sll5107
Q6ZEN3		sll5097
Q6ZEP0		sll5090
Q6ZEP1		sll5089
Q6ZEP4		sll5086
Q6ZEP6		sll5084
Q6ZEP7		sll5083
Q6ZEP9		sll5081
Q6ZEQ0		sll5080
Q6ZEQ1		sll5079
Q6ZEQ4		sll5076
Q6ZEQ5		sll5075
Q6ZEQ8		sll5072
Q6ZER1		sll5069
Q6ZER3		sll5067
Q6ZER4		sll5066
Q6ZER7		sll5063
Q6ZER8		sll5062
Q6ZER9		sll5061
Q6ZES0		sll5060
Q6ZES1		sll5059
Q6ZES3		sll5057
Q6ZES8		sll5052
Q6ZET0		sll5050
Q6ZET1		sll5049
Q6ZET2		sll5048
Q6ZET3		sll5047
Q6ZET4		sll5046
Q6ZET6		sll5044
Q6ZET7		sll5043
Q6ZET8		sll5042
Q6ZET9		sll5041
Q6ZEU4		sll5036
Q6ZEU5		sll5035
Q6ZEU6		sll5034
Q6ZEU7		sll5033
Q6ZEU8		sll5032
Q6ZEV0		sll5030
Q6ZEV2		sll5028
Q6ZEV4		sll5026
Q6ZEW6		sll5014
Q6ZEX4		sll5006
Q6ZEX6		sll5004
Q6ZEX7		sll5003
Q6ZEX8		sll5002
P73663		sll2015
P73665		sll2013
P73669		sll2009
P73670		sll2008
P73673		sll2007
P73674		sll2006
P73678		sll2003
P73680		sll2002
P97153		sll1999
P73976		sll1998
P73977		sll1997
P73996		sll1995
P73915		sll1985
P73916		sll1982
P73921		sll1979
P73369		sll1971
P73372		sll1969
P73374		sll1967
P73378		sll1965
P73804		sll1961
P73805		sll1960
P73813		sll1956
P73814		sll1954
P73817		sll1951
P73818		sll1950
P73819		sll1949
P73065		sll1946
P73076		sll1942
P73080		sll1940
P73081		sll1939
P73083		sll1938
P73095		sll1934
P73099		sll1930
P73220		sll1927
P73221		sll1926
P73223		sll1925
P73234		sll1924
P73240		sll1921
P73247		sll1915
P73250		sll1913
P73251		sll1912
P73253		sll1911
P73827		sll1906
P73828		sll1905
P73835		sll1902
P74096		sll1898
P74098		sll1897
P74101		sll1895
P74107		sll1892
P74109		sll1891
P74115		sll1888
P74118		sll1886
P74119		sll1885
P74121		sll1884
P74123		sll1882
P74125		sll1880
P74126		sll1879
P74127		sll1878
P74135		sll1873
P74137		sll1871
P74140		sll1870
P74144		sll1866
P74477		sll1864
P74485		sll1863
P74486		sll1862
P74487		sll1861
P74489		sll1858
P74493		sll1853
P74495		sll1851
P74496		sll1849
P74498		sll1848
P74502		sll1845
P73107		sll1837
P73111		sll1835
P73112		sll1834
P73118		sll1832
P73120		sll1830
P73288		sll1825
P73332		sll1792
P73333		sll1791
P73600		sll1785
P73601		sll1784
P73602		sll1783
P73619		sll1775
P73620		sll1774
P73623		sll1773
P73626		sll1771
P73627		sll1770
P73628		sll1769
P73631		sll1768
P73639		sll1766
P73640		sll1765
P73641		sll1764
P73642		sll1763
P73643		sll1762
P73645		sll1761
P73652		sll1757
P73659		sll1755
P73054		sll1752
P73060		sll1751
P73062		sll1749
P39204		sll1747.1
P73385		sll1739
P73386		sll1738
P73387		sll1737
P73391		sll1736
P73392		sll1735
P73393		sll1734
P73396		sll1730
P73399		sll1726
P73400		sll1725
P73402		sll1723
P73403		sll1722
P73413		sll1717
P73414		sll1716
P73415		sll1715
P73416		sll1714
P73683		sll1710
P73686		sll1708
P73690		sll1702
P73693		sll1699
P73694		sll1698
P73695		sll1697
P73702		sll1696
P73705		sll1693
P73707		sll1692
P73708		sll1691
P73713		sll1687
P72766		sll1686
P72771		sll1685
P72775		sll1682
P72778		sll1681
P72779		sll1680
P72783		sll1678
P72784		sll1677
P72786		sll1675
P72790		sll1673
P72791		sll1672
P72792		sll1671
P72805		sll1665
P72806		sll1664
P72807		sll1663
P72810		sll1660
P72812		sll1658
P72815		sll1656
P72817		sll1654
P72819		sll1652
P73034		sll1647
P73038		sll1643
P73041		sll1642
P73046		sll1640
P73048		sll1638
P73453		sll1634
P73457		sll1632
P73718		sll1630
P73719		sll1628
P73724		sll1624
P73725		sll1623
P73728		sll1621
P73730		sll1620
P73733		sll1618
P73841		sll1613
P73843		sll1611
P73844		sll1609
P73845		sll1608
P73847		sll1606
P73855		sll1601
P73864		sll1592
P73865		sll1590
P73871		sll1586
P73195		sll1584
P73197		sll1582
P73210		sll1573
P73216		sll1571
P73217		sll1570
P73219		sll1568
P74273		sll1563
P74274		sll1562
P74278		sll1560
P74281		sll1559
P74288		sll1555
P74651		sll1552
P74655		sll1550
P74656		sll1549
P74662		sll1547
P74670		sll1544
P74671		sll1543
P74675		sll1542
P74334		sll1541
P74341		sll1537
P74348		sll1534
P74351		sll1532
P74356		sll1531
P74357		sll1530
P74358		sll1528
P74359		sll1527
P74360		sll1526
P74365		sll1524
P72974		sll1516
P72975		sll1515
P72979		sll1512
P72981		sll1511
P72982		sll1510
P72983		sll1509
P72989		sll1507
P72996		sll1505
P72997		sll1504
P72998		sll1503
P73003		sll1500
P74589		sll1496
P74590		sll1495
P74598		sll1491
P74601		sll1489
P74602		sll1488
P74612		sll1486
P74613		sll1485
P74615		sll1483
P74616		sll1482
P74617		sll1481
P74619		sll1477
P74620		sll1476
P74622		sll1475
P74623		sll1473
P74624		sll1472
P73419		sll1469
P73434		sll1466
P73439		sll1461
P73440		sll1459
P73445		sll1456
P73447		sll1455
P74205		sll1447
P74206		sll1446
P74209		sll1442
P74213		sll1439
P73936		sll1429
P73938		sll1428
P73941		sll1426
P73944		sll1424
P73952		sll1418
P73969		sll1411
P72601		sll1407
P72603		sll1405
P72604		sll1404
P72614		sll1401
P72615		sll1400
P72617		sll1399
P72619		sll1396
P72624		sll1392
P74145		sll1390
P74147		sll1389
P74148		sll1388
P74150		sll1387
P74151		sll1386
P74157		sll1384
P74161		sll1381
P74162		sll1380
P74164		sll1378
P74165		sll1377
P74168		sll1374
P74169		sll1373
P74170		sll1372
P74171		sll1371
P74173		sll1369
P74544		sll1367
P74552		sll1366
P74554		sll1365
P73509		sll1359
P73510		sll1358
P73513		sll1355
P73519		sll1353
P73520		sll1352
P73524		sll1350
P74526		sll1344
P74532		sll1340
P74534		sll1338
P74535		sll1336
P74537		sll1334
P74539		sll1333
P74541		sll1330
P74542		sll1329
P72732		sll1319
P72733		sll1318
P73588		sll1315
P73591		sll1308
P73596		sll1307
P73597		sll1306
P73598		sll1305
P73599		sll1304
P73163		sll1298
P73172		sll1296
P73174		sll1293
P73175		sll1292
P73176		sll1291
P73177		sll1290
P73178		sll1289
P73186		sll1286
P73192		sll1284
P73529		sll1280
P73533		sll1276
P73536		sll1274
P73541		sll1273
P73542		sll1272
P73543		sll1271
P73549		sll1268
P73550		sll1267
P73551		sll1265
P74068		sll1263
P74073		sll1258
P74077		sll1255
P74078		sll1254
P74081		sll1253
P74082		sll1252
P74084		sll1251
P74086		sll1250
P45451		sll1247
P42349		sll1242
P73999		sll1241
P74000		sll1240
P74001		sll1239
P74006		sll1236
P74011		sll1233
P74012		sll1232
P74014		sll1229
P74015		sll1228
P74019		sll1225
P74023		sll1222
P74025		sll1220
P74028		sll1219
P74030		sll1217
P72596		sll1204
P72597		sll1203
P72598		sll1202
P72822		sll1201
P72824		sll1200
P72833		sll1193
P72837		sll1191
P72845		sll1188
P72847		sll1186
P74178		sll1178
P74190		sll1174
P74191		sll1173
P74197		sll1170
P74198		sll1169
P74204		sll1166
P73771		sll1164
P73772		sll1163
P73773		sll1162
P73774		sll1161
P73775		sll1160
P73776		sll1159
P73777		sll1158
P73781		sll1157
P73782		sll1156
P73783		sll1155
P73791		sll1151
P73793		sll1150
P73795		sll1147
P73466		sll1142
P73470		sll1138
P73476		sll1135
P73485		sll1132
P73486		sll1131
P73488		sll1130
P73337		sll1124
P73338		sll1123
P73339		sll1121
P73341		sll1119
P73346		sll1118
P74708		sll1109
P74719		sll1107
P74720		sll1106
P74224		sll1103
P74225		sll1102
P74231		sll1095
P74235		sll1094
P74243		sll1092
P74251		sll1089
P74252		sll1087
P74253		sll1086
P73260		sll1084
P73266		sll1081
P73267		sll1080
P73280		sll1072
P73281		sll1071
P73285		sll1068
P72631		sll1064
P72633		sll1063
P72635		sll1062
P72636		sll1061
P72637		sll1060
P72646		sll1054
P72647		sll1053
P72651		sll1052
P72653		sll1049
P72734		sll1041
P72735		sll1040
P72738		sll1039
P72750		sll1037
P72751		sll1036
P72756		sll1033
P72924		sll1025
P72926		sll1024
P72928		sll1022
P72929		sll1021
P72930		sll1020
P72935		sll1017
P73013		sll1011
P73022		sll1006
P73023		sll1005
P73024		sll1004
P73025		sll1003
P73030		sll1001
P73126		sll0997
P73130		sll0995
P73131		sll0994
P73132		sll0993
P73137		sll0992
P73147		sll0986
P73148		sll0985
P73149		sll0984
P73151		sll0983
P73152		sll0982
P73153		sll0981
P73154		sll0980
P77971		sll0944
P72853		sll0943
P72858		sll0939
P72859		sll0938
P72861		sll0936
P72865		sll0933
P72867		sll0932
P72868		sll0931
P72869		sll0930
P72873		sll0925
P72876		sll0924
P72878		sll0922
P74298		sll0921
P74310		sll0914
P74316		sll0913
P74317		sll0912
P74320		sll0911
P74321		sll0910
P74322		sll0909
P74331		sll0905
Q55360		sll0888
Q55361		sll0887
Q55362		sll0886
P73552		sll0877
P73555		sll0875
P73565		sll0872
P73568		sll0871
P73573		sll0867
P73582		sll0864
P73583		sll0863
P73584		sll0862
P73586		sll0860
P73742		sll0858
P73743		sll0857
P73745		sll0855
P73746		sll0854
P73751		sll0847
P73752		sll0846
P73756		sll0843
P73760		sll0839
P73762		sll0837
Q55416		sll0833
Q55417		sll0832
Q55421		sll0830
Q55423		sll0829
Q55424		sll0828
Q55425		sll0827
Q55428		sll0825
Q55432		sll0822
P74041		sll0816
P74042		sll0815
P74043		sll0814
P74047		sll0812
P74050		sll0811
P74051		sll0810
P74052		sll0809
P74059		sll0808
P74064		sll0804
P74065		sll0803
P74066		sll0802
Q55927		sll0800
Q55939		sll0793
Q55941		sll0790
Q55942		sll0789
Q55943		sll0788
Q55946		sll0787
Q55947		sll0786
Q55948		sll0785
Q55950		sll0783
Q55952		sll0782
Q55953		sll0781
Q55954		sll0780
Q55955		sll0779
Q55956		sll0778
Q55957		sll0777
Q55958		sll0775
P15730		sll0772
P52601		sll0766
Q55615		sll0763
Q55616		sll0762
Q55617		sll0761
Q55619		sll0759
Q55623		sll0756
Q55624		sll0755
Q55627		sll0752
Q55631		sll0749
Q55989		sll0744
Q55990		sll0743
Q55991		sll0742
Q55992		sll0740
Q55993		sll0739
O06944		sll0737
P74629		sll0736
P74630		sll0735
P74633		sll0733
P74634		sll0732
P74637		sll0729
P74642		sll0727
P74647		sll0723
P74648		sll0722
P74649		sll0721
P74650		sll0720
P72664		sll0710
P72678		sll0703
P72679		sll0702
P72685		sll0696
Q55188		sll0691
Q55191		sll0688
Q55192		sll0687
Q55193		sll0686
Q55194		sll0685
Q55965		sll0678
Q55966		sll0676
Q59999		sll0672
Q55969		sll0670
Q55970		sll0669
Q55973		sll0668
Q55974		sll0667
Q55975		sll0666
Q55976		sll0665
Q55977		sll0664
Q55980		sll0662
Q55984		sll0659
Q55985		sll0658
P72939		sll0654
P72947		sll0650
P72948		sll0649
P72950		sll0647
P72952		sll0645
P72953		sll0644
P72957		sll0641
P72958		sll0640
P72962		sll0639
P72963		sll0638
P74563		sll0630
P74574		sll0625
P74575		sll0624
P74577		sll0623
Q55707		sll0617
P52876		sll0615
Q79F24		sll0614
Q55713		sll0611
Q55719		sll0609
Q55720		sll0608
Q55723		sll0606
Q55726		sll0602
P55175		sll0601
Q55851		sll0597
Q55852		sll0596
Q55853		sll0595
Q55859		sll0590
Q55862		sll0588
Q55864		sll0586
Q55865		sll0585
P74725		sll0577
P74729		sll0576
P74734		sll0572
P74742		sll0565
P74743		sll0564
P74749		sll0563
P72583		sll0558
Q55388		sll0556
P53581		sll0555
Q55390		sll0553
Q55391		sll0552
Q55394		sll0549
Q55396		sll0547
Q55397		sll0546
Q55398		sll0545
Q55399		sll0544
Q55401		sll0543
Q55410		sll0540
Q55411		sll0539
P54148		sll0537
Q55509		sll0536
Q55517		sll0529
Q55518		sll0528
Q55519		sll0525
Q55521		sll0524
Q55466		sll0518
Q55470		sll0514
Q55474		sll0513
Q55478		sll0509
Q55479		sll0508
Q55485		sll0503
Q55487		sll0501
Q55489		sll0499
Q55491		sll0498
Q55492		sll0497
Q55494		sll0496
Q55495		sll0494
Q55496		sll0493
Q55816		sll0489
Q55817		sll0488
Q55818		sll0487
Q55820		sll0485
Q55821		sll0484
Q55826		sll0482
Q55827		sll0481
Q55832		sll0479
Q55833		sll0478
Q55834		sll0477
Q55838		sll0474
Q55839		sll0473
Q55846		sll0471
Q55847		sll0470
Q55166		sll0462
Q55184		sll0456
P74676		sll0451
P74679		sll0449
P74680		sll0448
P74681		sll0447
P74682		sll0446
P74683		sll0445
P74684		sll0444
P74685		sll0443
P74687		sll0442
P74688		sll0441
P74692		sll0436
P75027		sll0431 sll1397 slr1075
P74376		sll0428
P74380		sll0426
P74381		sll0424
P74382		sll0423
P74383		sll0422
P74387		sll0419
P74388		sll0418
P22040		sll0415
Q55112		sll0414
Q55114		sll0413
Q55115		sll0412
Q55116		sll0410
Q55118		sll0408
Q55122		sll0406
Q55123		sll0405
Q55126		sll0403
Q55129		sll0400
Q55731		sll0398
Q55732		sll0397
Q55733		sll0396
Q55734		sll0395
Q55735		sll0394
Q55740		sll0385
Q55741		sll0384
Q55743		sll0382
Q55744		sll0381
Q55751		sll0376
Q55754		sll0372
Q55755		sll0371
Q55757		sll0369
P74420		sll0364
P74424		sll0361
P74425		sll0360
P74426		sll0359
P74436		sll0355
P74437		sll0354
Q55580		sll0350
Q55587		sll0335
Q55599		sll0328
Q55600		sll0327
Q55634		sll0325
Q55639		sll0321
P74789		sll0319
Q57473		sll0318
Q55644		sll0317
Q55646		sll0315
Q55648		sll0314
Q55652		sll0312
Q55655		sll0310
Q55656		sll0309
Q55531		sll0301
Q55537		sll0298
Q55538		sll0297
Q55539		sll0296
Q55543		sll0295
Q55546		sll0294
Q55547		sll0293
Q55911		sll0286
Q55912		sll0284
Q55913		sll0283
Q55915		sll0282
Q55916		sll0281
Q55917		sll0280
P74392		sll0274
P74394		sll0272
P74398		sll0269
P74399		sll0268
P74400		sll0267
P74401		sll0266
P74402		sll0265
P74403		sll0264
P74404		sll0263
P74405		sll0261
P74409		sll0260
P73872		sll0254
P73873		sll0253
P73876		sll0252
P73883		sll0249
P73895		sll0243
P73896		sll0242
P73897		sll0241
P73898		sll0240
P73899		sll0238
P73900		sll0237
P73902		sll0236
P72699		sll0230
P72704		sll0227
P72706		sll0225
P72707		sll0224
P72722		sll0218
P72724		sll0216
Q55687		sll0209
Q55688		sll0208
Q55691		sll0205
Q55696		sll0201 sll0651 sll0700 sll1257 sll1437 sll1984 slr0857 slr1716 slr1937 slr2113 slr7105
Q55697		sll0200 sll0699 sll1256 sll1436 sll1983 slr1715 slr1936 slr7104
Q55699		sll0198
Q55701		sll0195
Q55704		sll0192
P22039		sll0191
Q55761		sll0189
Q55762		sll0188
Q55770		sll0185
Q55773		sll0183
Q55774		sll0182
Q55775		sll0181
Q55776		sll0180
Q55359		sll0178
Q55553		sll0177
Q55554		sll0176
Q55555		sll0175
Q55556		sll0174
Q55557		sll0173
Q55558		sll0172
Q55559		sll0169
Q55560		sll0168
Q55561		sll0167
Q55563		sll0163
Q55564		sll0162
Q55567		sll0161
Q55570		sll0160
Q55571		sll0157
Q55572		sll0156
Q55575		sll0154
P74452		sll0149
P74453		sll0148
P74454		sll0147
P74455		sll0146
P74461		sll0142
P74462		sll0141
P54147		sll0108
Q55874		sll0103
Q55878		sll0101
P54984		sll0100
Q55883		sll0096
Q55884		sll0095
Q55885		sll0094
Q55893		sll0092
Q55789		sll0088
Q55794		sll0086
Q55795		sll0085
Q55800		sll0082
Q55133		sll0072
Q55134		sll0071
Q55137		sll0069
Q55138		sll0068
Q55140		sll0066
Q55146		sll0064
Q55147		sll0063
Q55148		sll0062
Q55153		sll0060
Q55159		sll0055
Q55162		sll0051
Q55437		sll0048
Q55442		sll0044
Q55443		sll0043
Q55445		sll0041
Q55446		sll0040
Q55447		sll0039
Q55448		sll0038
Q55452		sll0036
Q55454		sll0034
Q55455		sll0033
Q55456		sll0031
Q55657		sll0024
Q55658		sll0023
Q55659		sll0022
Q57495		sll0012 sll0677 sll1860 slr0350 slr0703
Q55675		sll0010
Q55677		sll0008
Q55678		sll0007
Q55680		sll0005
P74686	ski2	
P72854	sir	slr0963
Q59996	sigC	sll0184
P74565	sigA	slr0653
P73914	shc	
P72716		sgl0002
P74773		sgl0001
P73664	sfsA	sll2014
P73201	serS	slr1703
P73821	serA	sll1908
P73376	sepF	slr2073
P73436	selO	sll1464
P77964	secY	sll1814
Q55611	secF	slr0775
P38382	secE	ssl3335
Q55610	secD	slr0774
Q55709	secA	sll0616
P73723	sdhB	
Q55431	sdhB	
Q01903	sbpA	slr1452
Q55661	sbcD	sll0021
P73012	sbcC	slr1048
P74241	sat	slr1165
Q55630	sasA	sll0750
Q55506	ruvC	sll0896
Q57396	ruvB	sll0613
P73554	ruvA	sll0876
P73068	rub	slr2033
P74038	rsmI	sll0818
P73460	rsmH	sll1144
Q55787	rsmG	slr0072
P72667	rsmE	slr0722
P72943	rsmB	slr0679
P72666	rsmA	sll0708
P52640	rsgA	sll0898
P73658	rsfS	slr1886
P72781	rre1	slr1783
P73561	rqcH	slr0880
P48949	rpsU	ssl0601
P73336	rpsT	ssl2233
P73316	rpsS	ssl3432
P48946	rpsR	ssr1399
P73311	rpsQ	ssl3437
P74410	rpsP	ssr0482
P72866	rpsO	ssl1784
P48944	rpsN	slr0628
P73299	rpsM	sll1816
P74230	rpsL	sll1096
P73298	rpsK	sll1817
P74226	rpsJ	sll1101
P73293	rpsI	sll1822
P73307	rpsH	sll1809
P74229	rpsG	sll1097
P73636	rpsF	sll1767
P73304	rpsE	sll1812
P48939	rpsD	slr0469
P73314	rpsC	sll1804
P74071	rpsB	sll1260
P74142	rps1b	slr1984
P73530	rps1A	slr1356
Q55932	rppB	sll0798
Q55933	rppA	sll0797
P74352	rpoZ	ssl2982
P74595	rpoF	
P73431	rpoE	
P73744	rpoE	
P73666	rpoD	
P73710	rpoD	
Q55525	rpoD	
P73334	rpoC2	sll1789
P74177	rpoC1	slr1265
P77965	rpoB	sll1787
P73297	rpoA	sll1818
P73300	rpmJ	sml0006
P48959	rpmI	ssl1426
Q55004	rpmH	smr0011
P48958	rpmG	ssr1398
P73014	rpmF	ssr1736
P73292	rpmE	ssl3445
P73312	rpmC	ssl3436
P72851	rpmB	ssr1604
P74267	rpmA	ssr2799
P73289	rplY	sll1824
P73309	rplX	sll1807
P73318	rplW	sll1801
P73315	rplV	sll1803
P74266	rplU	slr1678
P48957	rplT	sll0767
P36239	rplS	sll1740
P73305	rplR	sll1811
P73296	rplQ	sll1819
P73313	rplP	sll1805
P73303	rplO	sll1813
P73310	rplN	sll1806
P73294	rplM	sll1821
P23349	rplL	sll1746
P36237	rplK	sll1743
P23350	rplJ	sll1745
P42352	rplI	sll1244
P73306	rplF	sll1810
P73308	rplE	sll1808
P73319	rplD	sll1800
P73320	rplC	sll1799
P73317	rplB	sll1802
P36236	rplA	sll1744
P74234	rpiB	
Q55766	rpiA	slr0194
P74061	rpe	sll0807
Q55890	rpaA	slr0115
Q55132	rnz	slr0050
Q55005	rnpA	slr1469
P54123	rnj	slr0551
P72657	rnhB	slr1130
Q55801	rnhA	slr0080
P72656	rne	slr1129
Q55641	rnd	
Q55637	rnc2	slr0346
P74368	rnc1	slr1646
Q55752	rlpA	slr0423
Q55880	rlmN	sll0098
P72687	rimP	slr0742
Q55803	rimO	slr0082
P74035	rimM	slr0808
P73741	rimI	
P73527	ribH	sll1282
P73651	ribF	slr1882
Q55158	ribD	slr0066
Q55532	ribC	
P74104	ribBA	sll1894
P72632	rffM	
P74183	rffM	
Q55635	rfbW	
Q55745	rfbW	
P72900	rfbU	
P74347	rfbP	
P74172	rfbM	
Q55183	rfbM	
P73444	rfbJ	
P72886	rfbG	
P72885	rfbF	
P72893	rfbE	
P72586	rfbD	
P72621	rfbD	
P72887	rfbC	
P74488	rfbC	
P72884	rfbB	
P74036	rfbB	
P74730	rfbB	
Q55420	rfbB	
P74731	rfbA	
Q55689	rfbA	
P74533	recR	slr1426
P73421	recQ	slr1536
Q55569	recO	slr0181
P74374	recN	sll1520
P73518	recJ	
Q55681	recG	slr0020
P73532	recF	sll1277
P74737	recA	sll0569
Q55169	rcp1	slr0474
Q57014	rbpA	sll0517
Q55625	rbfA	sll0754
Q55670	rbcX	slr0011
P73123	rbcR	sll0998
P73862	rbcR	
Q55875	raf1	sll0102
P74391	radA	slr0448
P73526	queG	sll1348
Q55978	queF	slr0711
P73667	queE	sll2011
Q55798	queD	slr0078
Q55468	queC	slr0527
Q55850	queA	sll0467
Q55758	pyrR	sll0368
P74457	pyrH	sll0144
P74208	pyrG	sll1443
P73761	pyrF	sll0838
Q55574	pyrE	slr0185
P74782	pyrD	slr1418
P72934	pyrC'	sll1018
P74438	pyrC	slr0406
P74163	pyrB	slr1476
P73534	pyk2	sll1275
Q55863	pyk1	sll0587
P74275	putA	
Q55135	purU	sll0070
Q55336	purT	slr0861
Q55842	purS	slr0519
Q55843	purQ	slr0520
Q55172	purN	
Q55422	purM	slr0838
P72644	purL	sll1056
P74724	purK	sll0578
P74741	purH	slr0597
Q55621	purF	sll0757
Q55498	purE	sll0901
P74232	purD	slr1159
P73471	purC	slr1226
P74384	purB	sll0421
P73290	purA	sll1823
